ROW#,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
0,122/14*142/14*142/44*122/44,142/14*161/15*161/45*142/44,161/15*180/18*180/47*161/45,180/18*199/23*199/50*180/47,199/23*218/27*218/54*199/50,218/27*237/31*237/57*218/54,237/31*256/33*256/59*237/57,256/33*275/35*275/61*256/59,275/35*294/36*295/62*275/61,294/36*314/36*314/63*295/62,314/36*333/37*333/63*314/63,333/37*352/37*352/63*333/63,352/37*372/36*372/63*352/63,372/36*391/35*391/62*372/63,391/35*410/34*410/61*391/62,410/34*430/32*429/59*410/61,430/32*449/30*449/57*429/59,449/30*468/26*468/54*449/57,468/26*487/23*487/51*468/54,487/23*506/19*506/47*487/51,506/19*525/15*524/43*506/47,525/15*544/12*543/40*524/43,544/12*563/9*562/37*543/40,563/9*582/6*582/34*562/37,582/6*601/4*601/33*582/34,601/4*620/2*620/31*601/33,620/2*640/1*639/30*620/31,640/1*659/1*658/29*639/30,659/1*678/0*678/29*658/29,678/0*698/0*697/29*678/29
1,122/44*142/44*142/74*123/74,142/44*161/45*161/75*142/74,161/45*180/47*180/77*161/75,180/47*199/50*199/79*180/77,199/50*218/54*218/81*199/79,218/54*237/57*237/84*218/81,237/57*256/59*256/86*237/84,256/59*275/61*275/87*256/86,275/61*295/62*295/88*275/87,295/62*314/63*314/89*295/88,314/63*333/63*333/89*314/89,333/63*352/63*352/89*333/89,352/63*372/63*371/89*352/89,372/63*391/62*390/89*371/89,391/62*410/61*409/88*390/89,410/61*429/59*429/86*409/88,429/59*449/57*448/84*429/86,449/57*468/54*467/82*448/84,468/54*487/51*485/79*467/82,487/51*506/47*504/75*485/79,506/47*524/43*523/72*504/75,524/43*543/40*542/68*523/72,543/40*562/37*561/65*542/68,562/37*582/34*580/63*561/65,582/34*601/33*599/61*580/63,601/33*620/31*618/60*599/61,620/31*639/30*637/59*618/60,639/30*658/29*656/58*637/59,658/29*678/29*675/57*656/58,678/29*697/29*695/57*675/57
2,123/74*142/74*143/105*124/104,142/74*161/75*162/105*143/105,161/75*180/77*181/106*162/105,180/77*199/79*199/107*181/106,199/79*218/81*218/109*199/107,218/81*237/84*237/111*218/109,237/84*256/86*256/113*237/111,256/86*275/87*275/114*256/113,275/87*295/88*294/115*275/114,295/88*314/89*313/115*294/115,314/89*333/89*332/116*313/115,333/89*352/89*351/116*332/116,352/89*371/89*370/116*351/116,371/89*390/89*389/116*370/116,390/89*409/88*408/115*389/116,409/88*429/86*427/114*408/115,429/86*448/84*446/112*427/114,448/84*467/82*465/110*446/112,467/82*485/79*483/107*465/110,485/79*504/75*502/103*483/107,504/75*523/72*521/100*502/103,523/72*542/68*539/97*521/100,542/68*561/65*558/94*539/97,561/65*580/63*577/92*558/94,580/63*599/61*596/90*577/92,599/61*618/60*615/88*596/90,618/60*637/59*634/87*615/88,637/59*656/58*653/87*634/87,656/58*675/57*672/86*653/87,675/57*695/57*691/86*672/86
3,124/104*143/105*143/135*125/135,143/105*162/105*162/135*143/135,162/105*181/106*181/136*162/135,181/106*199/107*200/137*181/136,199/107*218/109*218/138*200/137,218/109*237/111*237/139*218/138,237/111*256/113*256/140*237/139,256/113*275/114*275/141*256/140,275/114*294/115*293/141*275/141,294/115*313/115*312/142*293/141,313/115*332/116*331/142*312/142,332/116*351/116*349/142*331/142,351/116*370/116*368/142*349/142,370/116*389/116*387/142*368/142,389/116*408/115*406/142*387/142,408/115*427/114*424/141*406/142,427/114*446/112*443/139*424/141,446/112*465/110*462/137*443/139,465/110*483/107*480/135*462/137,483/107*502/103*499/132*480/135,502/103*521/100*517/129*499/132,521/100*539/97*536/125*517/129,539/97*558/94*554/123*536/125,558/94*577/92*573/120*554/123,577/92*596/90*592/119*573/120,596/90*615/88*610/117*592/119,615/88*634/87*629/116*610/117,634/87*653/87*648/115*629/116,653/87*672/86*666/115*648/115,672/86*691/86*685/115*666/115
4,125/135*143/135*145/165*126/165,143/135*162/135*163/165*145/165,162/135*181/136*182/165*163/165,181/136*200/137*200/166*182/165,200/137*218/138*219/166*200/166,218/138*237/139*237/167*219/166,237/139*256/140*255/167*237/167,256/140*275/141*274/168*255/167,275/141*293/141*292/168*274/168,293/141*312/142*311/169*292/168,312/142*331/142*329/169*311/169,331/142*349/142*348/169*329/169,349/142*368/142*366/169*348/169,368/142*387/142*385/169*366/169,387/142*406/142*403/168*385/169,406/142*424/141*422/168*403/168,424/141*443/139*440/167*422/168,443/139*462/137*459/165*440/167,462/137*480/135*477/163*459/165,480/135*499/132*495/160*477/163,499/132*517/129*514/157*495/160,517/129*536/125*532/154*514/157,536/125*554/123*550/151*532/154,554/123*573/120*568/149*550/151,573/120*592/119*587/147*568/149,592/119*610/117*605/146*587/147,610/117*629/116*624/145*605/146,629/116*648/115*642/144*624/145,648/115*666/115*661/144*642/144,666/115*685/115*679/143*661/144
5,126/165*145/165*146/195*128/195,145/165*163/165*164/195*146/195,163/165*182/165*183/195*164/195,182/165*200/166*201/195*183/195,200/166*219/166*219/195*201/195,219/166*237/167*237/195*219/195,237/167*255/167*255/195*237/195,255/167*274/168*274/195*255/195,274/168*292/168*292/195*274/195,292/168*311/169*310/195*292/195,311/169*329/169*328/195*310/195,329/169*348/169*346/195*328/195,348/169*366/169*365/195*346/195,366/169*385/169*383/195*365/195,385/169*403/168*401/195*383/195,403/168*422/168*419/195*401/195,422/168*440/167*438/194*419/195,440/167*459/165*456/192*438/194,459/165*477/163*474/190*456/192,477/163*495/160*492/188*474/190,495/160*514/157*510/185*492/188,514/157*532/154*528/183*510/185,532/154*550/151*546/180*528/183,550/151*568/149*564/178*546/180,568/149*587/147*582/176*564/178,587/147*605/146*600/175*582/176,605/146*624/145*618/174*600/175,624/145*642/144*637/173*618/174,642/144*661/144*655/172*637/173,661/144*679/143*673/172*655/172
6,128/195*146/195*148/225*130/226,146/195*164/195*166/225*148/225,164/195*183/195*184/225*166/225,183/195*201/195*202/225*184/225,201/195*219/195*220/224*202/225,219/195*237/195*238/224*220/224,237/195*255/195*256/223*238/224,255/195*274/195*274/223*256/223,274/195*292/195*292/223*274/223,292/195*310/195*310/222*292/223,310/195*328/195*328/222*310/222,328/195*346/195*346/222*328/222,346/195*365/195*364/222*346/222,365/195*383/195*382/222*364/222,383/195*401/195*400/222*382/222,401/195*419/195*417/221*400/222,419/195*438/194*435/221*417/221,438/194*456/192*453/220*435/221,456/192*474/190*471/218*453/220,474/190*492/188*489/216*471/218,492/188*510/185*507/214*489/216,510/185*528/183*525/211*507/214,528/183*546/180*542/209*525/211,546/180*564/178*560/207*542/209,564/178*582/176*578/205*560/207,582/176*600/175*596/203*578/205,600/175*618/174*614/202*596/203,618/174*637/173*632/202*614/202,637/173*655/172*650/201*632/202,655/172*673/172*668/201*650/201
7,130/226*148/225*151/256*133/256,148/225*166/225*168/255*151/256,166/225*184/225*186/255*168/255,184/225*202/225*204/255*186/255,202/225*220/224*221/254*204/255,220/224*238/224*239/253*221/254,238/224*256/223*257/252*239/253,256/223*274/223*275/251*257/252,274/223*292/223*292/250*275/251,292/223*310/222*310/249*292/250,310/222*328/222*328/249*310/249,328/222*346/222*346/249*328/249,346/222*364/222*363/248*346/249,364/222*382/222*381/248*363/248,382/222*400/222*399/248*381/248,400/222*417/221*417/248*399/248,417/221*435/221*434/247*417/248,435/221*453/220*452/247*434/247,453/220*471/218*470/245*452/247,471/218*489/216*487/244*470/245,489/216*507/214*505/241*487/244,507/214*525/211*523/239*505/241,525/211*542/209*540/237*523/239,542/209*560/207*558/235*540/237,560/207*578/205*575/233*558/235,578/205*596/203*593/232*575/233,596/203*614/202*611/231*593/232,614/202*632/202*629/230*611/231,632/202*650/201*646/230*629/230,650/201*668/201*664/229*646/230
8,133/256*151/256*153/286*136/286,151/256*168/255*171/285*153/286,168/255*186/255*189/285*171/285,186/255*204/255*206/284*189/285,204/255*221/254*224/283*206/284,221/254*239/253*241/282*224/283,239/253*257/252*259/281*241/282,257/252*275/251*276/279*259/281,275/251*292/250*294/278*276/279,292/250*310/249*311/277*294/278,310/249*328/249*329/276*311/277,328/249*346/249*346/275*329/276,346/249*363/248*364/275*346/275,363/248*381/248*381/275*364/275,381/248*399/248*399/275*381/275,399/248*417/248*417/275*399/275,417/248*434/247*434/274*417/275,434/247*452/247*452/273*434/274,452/247*470/245*469/272*452/273,470/245*487/244*487/271*469/272,487/244*505/241*504/269*487/271,505/241*523/239*522/267*504/269,523/239*540/237*539/265*522/267,540/237*558/235*557/263*539/265,558/235*575/233*574/262*557/263,575/233*593/232*592/260*574/262,593/232*611/231*609/260*592/260,611/231*629/230*627/259*609/260,629/230*646/230*644/258*627/259,646/230*664/229*662/258*644/258
9,136/286*153/286*157/316*139/316,153/286*171/285*174/316*157/316,171/285*189/285*192/315*174/316,189/285*206/284*209/314*192/315,206/284*224/283*227/313*209/314,224/283*241/282*244/311*227/313,241/282*259/281*261/309*244/311,259/281*276/279*279/308*261/309,276/279*294/278*296/306*279/308,294/278*311/277*313/304*296/306,311/277*329/276*331/303*313/304,329/276*346/275*348/302*331/303,346/275*364/275*365/302*348/302,364/275*381/275*383/301*365/302,381/275*399/275*400/301*383/301,399/275*417/275*418/301*400/301,417/275*434/274*435/301*418/301,434/274*452/273*453/300*435/301,452/273*469/272*470/299*453/300,469/272*487/271*487/298*470/299,487/271*504/269*505/296*487/298,504/269*522/267*522/295*505/296,522/267*539/265*539/293*522/295,539/265*557/263*557/291*539/293,557/263*574/262*574/290*557/291,574/262*592/260*592/289*574/290,592/260*609/260*609/288*592/289,609/260*627/259*626/287*609/288,627/259*644/258*644/287*626/287,644/258*662/258*661/287*644/287
